,Simulated,Observed,zone,geometry,well
2012-11-08,27.62651,30.70041666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-09,26.69323,35.452083333333334,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-10,31.195076,36.930416666666666,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-11,32.662003,37.099583333333335,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-12,33.420303,37.02125,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-13,33.866325,37.01583333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-14,34.160828,36.80833333333334,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-15,34.2067,33.540416666666665,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-16,32.532635,31.45,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-17,29.077564,31.203333333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-18,28.670513,31.214583333333334,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-19,28.250645,31.484166666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-20,27.636679,31.898333333333337,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
